eps,min_pts,n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score
0.1,2,4,-0.5334419935757795,0.9424124178614249,2.7675249986678474
0.1,3,0,N/A,N/A,N/A
0.1,4,0,N/A,N/A,N/A
0.1,5,0,N/A,N/A,N/A
0.1,6,0,N/A,N/A,N/A
0.1,7,0,N/A,N/A,N/A
0.1,8,0,N/A,N/A,N/A
0.1,9,0,N/A,N/A,N/A
0.1,10,0,N/A,N/A,N/A
0.2,2,19,-0.25210142720408557,2.031321027431526,5.352313700941839
0.2,3,6,-0.3435295742459985,2.501019942584306,10.62915533120602
0.2,4,3,-0.3298054383391398,3.1902133744714876,13.395567320624231
0.2,5,2,0.18256428323870066,0.6275995822540161,18.623578246086847
0.2,6,2,0.1584293948698756,0.6457865350658536,15.507353563223505
0.2,7,1,N/A,N/A,N/A
0.2,8,1,N/A,N/A,N/A
0.2,9,0,N/A,N/A,N/A
0.2,10,0,N/A,N/A,N/A
0.3,2,21,-0.0033173438684878623,2.1196612307513396,13.71171184072261
0.3,3,9,0.031696721278817355,3.2818811238161594,21.90619482666317
0.3,4,6,-0.04646912371526401,3.659781720917617,31.217240523499086
0.3,5,3,-0.05206429641095583,2.400942109899732,55.41857537141078
0.3,6,2,0.040616684775775444,1.6380658049643078,80.44124066671971
0.3,7,2,0.008293473378023285,1.8371782527614098,68.68801873252093
0.3,8,1,N/A,N/A,N/A
0.3,9,1,N/A,N/A,N/A
0.3,10,2,0.30775028041821995,0.7782450713797778,49.76448106896562
0.4,2,7,0.24225508495190032,2.5590668616526013,79.79738891789651
0.4,3,4,0.3349357629247676,2.915431056240747,123.18855497696
0.4,4,4,0.3252554808454047,2.8171748174725963,122.47971273080236
0.4,5,4,0.27794001394439843,3.8938268408047456,97.56349179124388
0.4,6,4,0.27794001394439843,3.8938268408047456,97.56349179124388
0.4,7,6,0.1992451988041396,2.8135473452731015,59.17003397060512
0.4,8,4,0.17011237432261903,1.8988834911074215,86.84358744495809
0.4,9,3,0.16440204115546359,2.047321031463814,93.36610108263139
0.4,10,3,0.12140293312881754,2.075582079612424,89.06572232975098
0.5,2,6,0.19077071508673135,5.8545645307672896,110.46617941655329
0.5,3,4,0.34673727351549816,2.9507229738798206,148.92433684922062
0.5,4,3,0.38124539908253163,1.734668808912822,183.6757054098471
0.5,5,2,0.48603419703456857,7.222448016359581,220.29751498443005
0.5,6,2,0.4771630593157685,3.1611272179596903,228.94415696153573
0.5,7,2,0.4642668086152476,4.558289252526157,201.13777212338456
0.5,8,2,0.450347222929823,4.057208658540952,202.37221181196568
0.5,9,2,0.4315749938539151,4.202587642582702,201.90751806030548
0.5,10,2,0.4226852735832704,3.75381894286625,203.32343586080995
0.6,2,4,0.36495511960147825,1.8557930370120883,146.7544321119407
0.6,3,3,0.423002591790791,5.012388020809341,171.2663377861045
0.6,4,3,0.423002591790791,5.012388020809341,171.2663377861045
0.6,5,2,0.5381725940321743,2.5870513567421,230.14862526195472
0.6,6,2,0.5455653321123303,8.409304791668221,219.7236547601307
0.6,7,2,0.5421203936716451,11.608884315244202,219.20001463430276
0.6,8,2,0.5421203936716451,11.608884315244202,219.20001463430276
0.6,9,2,0.5421203936716451,11.608884315244202,219.20001463430276
0.6,10,2,0.5421203936716451,11.608884315244202,219.20001463430276
0.7,2,3,0.2819391913200385,0.5630674579784753,187.47652962997344
0.7,3,2,0.5018335620464314,1.5359080015047322,260.2267802784594
0.7,4,2,0.5018335620464314,1.5359080015047322,260.2267802784594
0.7,5,2,0.5018335620464314,1.5359080015047322,260.2267802784594
0.7,6,2,0.5252342053734043,8.101063061256376,250.41931511302752
0.7,7,2,0.5347973074629673,7.94791852780643,250.62068003253995
0.7,8,2,0.5347973074629673,7.94791852780643,250.62068003253995
0.7,9,2,0.5385919451236434,2.6316873662276357,260.33622671279335
0.7,10,2,0.5385919451236434,2.6316873662276357,260.33622671279335
