k,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.6810461692117462,0.40429283717304343,513.9245459802768
3,0.5185675688773279,0.9937437429737788,277.3183110375582
4,0.49535632852884987,0.763894658536336,529.1966593804771
5,0.4922441515961953,0.8087624833861792,492.70297265928036
6,0.4376904026868732,0.9726245493605514,410.3787443028085
7,0.3563777415573774,0.9759282628967141,449.38787242407415
8,0.28819600182188065,0.9918904689631824,306.6507003286067
9,0.4265911281647462,0.9799372635401831,322.7847497967888
10,0.2948417547442613,1.1289782141118683,367.4153528526538
